name,tipo,price,estimated_owners,peak_ccu,positive,negative,pct_pos_total,metacritic_score,watch_time_hours,peak_viewers,streamers,peak_channels
Path of Exile,MMO,0.0,20000000 - 50000000,32104,208341,25016,89,86,64679811.0,334854.0,31841.0,2664.0
Undertale,Single Player,9.99,5000000 - 10000000,1554,246907,8407,96,92,3831039.0,97095.0,51780.0,138.0
Sons Of The Forest,Multiplayer,29.99,10000000 - 20000000,6723,212182,30041,87,0,4219425.0,71468.0,62211.0,262.0
Risk of Rain 2,Multiplayer,24.99,5000000 - 10000000,6183,286416,20064,93,85,2373921.0,28528.0,51002.0,312.0
Mount & Blade II: Bannerlord,Multiplayer,49.99,10000000 - 20000000,18915,228586,31683,87,77,5337460.0,28402.0,17351.0,192.0
Satisfactory,Multiplayer,39.99,5000000 - 10000000,15097,217300,6461,97,91,5898113.0,11150.0,35549.0,170.0
Ready or Not,Multiplayer,49.99,2000000 - 5000000,6837,199469,24824,89,0,3409243.0,111176.0,125845.0,1025.0
RimWorld,Single Player,34.99,5000000 - 10000000,27679,201079,4151,97,87,17625401.0,59696.0,17428.0,352.0
Factorio,Multiplayer,35.0,5000000 - 10000000,16739,204396,6366,97,90,6392572.0,24041.0,12384.0,106.0
Cuphead,Multiplayer,19.99,5000000 - 10000000,1870,172842,6604,96,88,3242228.0,54621.0,58736.0,71.0
Slay the Spire,Single Player,8.49,5000000 - 10000000,18859,172382,3835,97,89,8715023.0,27691.0,19052.0,60.0
Squad,MMO,49.99,2000000 - 5000000,17053,169225,34721,84,0,1018264.0,23565.0,15307.0,67.0
American Truck Simulator,Multiplayer,19.99,2000000 - 5000000,10501,165324,5425,97,76,3540197.0,29709.0,32006.0,148.0
Stray,Single Player,29.99,5000000 - 10000000,498,148731,4179,97,82,1036212.0,27285.0,39506.0,132.0
Stumble Guys,MMO,0.0,2000000 - 5000000,5755,106632,18724,85,0,1274732.0,12708.0,38797.0,56.0
Oxygen Not Included,Multiplayer,24.99,2000000 - 5000000,8460,121944,4094,96,85,1417202.0,5857.0,5903.0,39.0
Assetto Corsa,Multiplayer,19.99,5000000 - 10000000,12075,135644,10838,92,85,1865953.0,51944.0,41453.0,103.0
Balatro,Single Player,14.99,2000000 - 5000000,24326,131361,2538,98,90,9080357.0,58736.0,86104.0,209.0
Celeste,Single Player,19.99,2000000 - 5000000,1531,113097,2948,97,88,2877988.0,70673.0,22906.0,66.0
Kerbal Space Program,Single Player,39.99,2000000 - 5000000,2231,119550,6081,95,88,1124235.0,34710.0,3911.0,20.0
Space Engineers,Multiplayer,19.99,2000000 - 5000000,5666,116320,15085,89,0,1024267.0,4426.0,6469.0,45.0
The Long Dark,Multiplayer,9.99,2000000 - 5000000,2878,99417,10133,91,0,2048739.0,32587.0,12763.0,65.0
Poppy Playtime,Single Player,0.0,2000000 - 5000000,4100,79966,14469,84,0,6373361.0,237412.0,54693.0,1355.0
Outlast,Multiplayer,19.99,2000000 - 5000000,409,119498,4394,96,80,2716665.0,29616.0,58674.0,238.0
Last Epoch,MMO,34.99,20000000 - 50000000,1851,77879,23010,77,80,12936608.0,188950.0,12709.0,1595.0
MiSide,Single Player,14.99,100000 - 200000,1999,101008,1836,98,0,5359033.0,55999.0,42837.0,303.0
Brotato,Multiplayer,2.99,2000000 - 5000000,6592,90914,3068,96,0,2965163.0,23067.0,15986.0,42.0
Hell Let Loose,MMO,29.99,2000000 - 5000000,8008,111514,23891,84,79,2032239.0,12649.0,46993.0,281.0
"Warhammer 40,000: Darktide",Multiplayer,39.99,2000000 - 5000000,4921,77348,32390,70,0,3111154.0,18488.0,24385.0,367.0
Subnautica: Below Zero,Multiplayer,29.99,2000000 - 5000000,1020,86347,8850,90,0,849795.0,4148.0,10335.0,37.0
SCUM,MMO,39.99,2000000 - 5000000,15965,82286,28062,75,0,8624370.0,64566.0,13283.0,457.0
Cult of the Lamb,Multiplayer,24.99,2000000 - 5000000,2467,94610,4376,95,82,3525984.0,12697.0,44150.0,104.0
The Isle,MMO,19.99,2000000 - 5000000,10065,73561,16917,81,0,10381232.0,47294.0,12787.0,127.0
My Summer Car,Multiplayer,14.99,2000000 - 5000000,2859,82393,4732,94,0,1950405.0,54515.0,8637.0,35.0
Escape the Backrooms,Multiplayer,9.99,2000000 - 5000000,3296,88597,8766,91,0,1939401.0,23435.0,37704.0,264.0
Kenshi,Single Player,29.99,2000000 - 5000000,4205,89978,4265,95,75,1336940.0,4473.0,5372.0,32.0
Buckshot Roulette,Multiplayer,2.99,2000000 - 5000000,1050,85250,3406,96,0,1381387.0,72822.0,34529.0,56.0
Goose Goose Duck,Multiplayer,0.0,0 - 0,0,0,0,86,0,2164131.0,14384.0,24411.0,84.0
Noita,Single Player,19.99,2000000 - 5000000,3511,72473,3647,95,0,4412355.0,65160.0,10454.0,44.0
Beat Saber,Multiplayer,29.99,2000000 - 5000000,683,70987,3262,95,93,1811032.0,57705.0,16642.0,154.0
